D-PB.1	WP-PB	Future of African forecasting – SWIFT perspectives -techniques, delivery, etc.	UoL	D-PB.1	2021-01-01			0			2019-12-01
D-M1.10	WP-M1	Annual reporting to RCUK/GCRF	NCAS-AP	Lorraine Youds	2021-09-01			0			2019-12-01
D-M1.13	WP-M1	Whole project meeting 2020	NCAS-AP	Lorraine Youds	2020-09-01			0			2019-12-01
D-M1.14	WP-M1	Whole project meeting 2021	NCAS-AP	Lorraine Youds	2021-09-01			0			2019-12-01
D-M1.15	WP-M1	Documentation workshop	NCAS-AP	Lorraine Youds	2020-03-01			0			2019-12-01
D-M1.18	WP-M1	Aligning the WPs (cross-cutting activities)	ACMAD	Elijah Adefisan	2019-09-01		Three Case Studies with cross-WPs activities have been prioritized from a list of high impact and socio-economic importance case studies of weather events. A committee set up to monitor on-going analysis. Each case study has a leader and plots gathering coordinator.	50			2020-01-17
D-M1.19	WP-M1	Development of best practice for university funded GCRF programmes	NCAS-AP	Lorraine Youds	2020-03-01			0	Position paper		2019-12-01
D-M1.20	WP-M1	Due Diligence	NCAS-AP	Lorraine Youds	2020-03-01			0			2019-12-01
D-M1.26	WP-M1	Meetings: Exec, Advisory, WPs	NCAS-AP	Lorraine Youds	2021-12-01			0			2019-12-01
D-C2.7	WP-C2	Forecast demonstration exercise in Kenya	KMD	Bernard Chanzu	2020-09-01	"Ongoing collection of training modules and application of SWIFT prediction methodologies in generating  severe weather forecast guidance products
"		65	Summary paper		2019-12-01
D-C2.4	WP-C2	Documentation on Testbed 2. Papers.	ICPAC	Zewdu Segele	2021-09-01	An overall testbed2 planning document has been drafted		10	Testbed 2 summary paper planned, documenting on the lessons learnt and the forecast skill.		2019-12-01
D-C1.5	WP-C1	Forecaster training event Synoptic	UoL	Doug Parker	2019-01-01	"Successfully completed in partnership with SWFDP at an event in Togo, November 2018.\r\nContribution also made to another SWFDP event in Nairobi, Jan-Feb 2019.
"		100			2019-12-01
D-C1.8	WP-C1	Summer school 1: many sub-tasks	UoL	Lorraine Youds	2019-09-01	"Postpone to July 2019 (might have been typo, originally?). Planning will start in earnest in September 2018 at KNUST. We will partner the event with YESS.\r\nPlanning group is active. Advert has now been sent around.\r\nDeadline corrected to September 2019 to allow time for reporting.
"		100			2019-12-01
