T-R2.3.5	WP-R2	Coordination of analysis of Case Study B (West Africa, 18-29 August 2017)	ACMAD	Elijah Adefisan	2021-09-01			0			2019-12-01
T-R2.5.6	WP-R2	Document best practice in verification and evaluation of ensemble models (global and CP)	UoL	Beth Woodhams	2020-09-01			0			2019-12-01
T-R2.4.2	WP-R2	Report on development towards seamless forecasting and evaluation for Tropical Africa.	UoR	Carlo Cafaro	2021-09-01	Not yet begun.		0			2019-12-01
T-R2.5.2	WP-R2	Document best practice of verification of nowcasting.	UoR	Peter Hill	2020-09-01	Hill (UoR) has performed initial verification of the convective rain rate and RDT categories produced with NWCSAF. The results show where there is value in the nowcasting products and as such we are considering developing this into a short paper. Hill and Stein (UoR) are supervising an UG student at Reading to further develop nowcasting verification techniques. This will feed into the final report.		30	1. UoL/UoR nowcasting evaluation, possible GRL paper.		2019-12-01
T-R2.6.2	WP-R2	Prepare lecture and exercise materials (Python scripts, sample data)	UoR	Thorwald Stein	2020-09-01	Lecture and exercise materials exist from the Kumasi summer school and science meeting. Further materials will be pending on workshop guest speakers and chairs and decision on intended outcomes.		20			2019-12-01
T-R2.6.3	WP-R2	Design lesson plan and identify teaching staff	UoR	Thorwald Stein	2020-03-01	No further update. Pending alignment with other SWIFT activities and availability of identified guest speakers and chairs to form an organising committee.		10			2019-12-01
T-R2.6.4	WP-R2	Online resources post-event	UoR	Thorwald Stein	2021-09-01	Not yet begun.		0			2019-12-01
T-R2.7.2	WP-R2	Document at regular intervals forecast skill and metrics used	UoR	Thorwald Stein	2021-03-01	Reports provided by GMet, ANACIM, and KMD. Reporting plans yet to be designed with NiMet (focus on WRF performance).		20			2019-12-01
T-R2.7.3	WP-R2	Evaluate uptake of verification practices and metrics at operational centers	UoR	Thorwald Stein	2021-09-01	Not yet begun.		0			2019-12-01
T-R1.2.4b	WP-R1	Pilotting user interviews and surveys in partner countries and identifying country strategy for conducting survey and interview: Phase 2  (Nigeria)	NiMet	Ibrahim Ishyaku	2019-02-01	"Activity initially pushed back until after user workshops. As uncertainty exists over precise workshop timing. New completion date is February 2019.\r\nThis is now integrated into the surveys
"		100			2019-12-01
T-C2.9.1	WP-C2	Report on SWIFT-SAWIDRA forecasting exercise, August-October 2019	ACMAD	Andre Kamga Foamouhoue	2019-11-01			0			2019-12-01
T-R3.2.1	WP-R3	Report on the current satellite operational products used in African Centres.	ANACIM	Ousmane Ndiaye	2018-10-01	"Report completed. At start of SWIFT  none of the African partners were using the EUMETSAT nowcasting system for forecasts. 
"		100			2019-12-01
T-R3.2.2	WP-R3	Report on  current radar facilities and capabilities in African Centres.	ANACIM	Ousmane Ndiaye	2018-10-01	"Similar to above, but for radar. \r\nThere is no working radar in SWIFT centres.\r\nThe report is now completed.
"		100			2019-12-01
T-R3.4.1	WP-R3	Write new training materials (and/or instructions how to use exisiting material) for using satellite products.	NCAS-AP	Alex Roberts	2019-08-01	"100% complete, guide for installation is online. 5% complete. Notes have been made as progress is made.\r\nUpdate: James Groves and Alex Roberts are developing material for Science Meeting. Morne Guiben will also lecture there.
"		100			2019-12-01
