2018-02-13	WP-R7	One convection-permitting ensemble test case has been completed and evaluated. It is clear that a time-lagged ensemble of deterministic forecasts will provide more spread than full ensemble simulations from a couple of start times. Going forward we will develop a strategy for how to best combine the two. The HyVic research flights over Lake Victoria were successfully completed at the end of January 2019. Some convection-permitting forecasts were run in real-time for this field campaign and testbed1a. These runs successfully forecast dry conditions over the lake and these runs are currently being evaluated against the aircraft observations. We have recently discussed the modelling plan going forward and have agreed to run another set of test ensemble simulations for testbed1b, and then make the final decision about model configuration and ensemble type immediately after that, running the bulk of the past case studies as convection-permitting ensembles between June and December 2019. The main analysis of those runs will be completed in 2020 and 2021.	D-R7.1 has been a little delayed, due to the late start of the WP-R7 PDRA. Beth Woodhams will start in April 2019 and will complete the literature review immediately. 	No deliverables are due in the next quarter.
2019-02-28	WP-R5	(Juliane & Joseph –Updated by Joseph 22FEB2019) Actual science work started during 2018 with tasks T5.1, T5.2, T5.5, and T5.8. Task 5.1 has contributed to two deliverables D5.1 and D5.2 due during reporting period 1. D5.1 has been compiled to more than 50%. It requires few inputs from GMet and ANACIM to become 100%. Its current form is good of comments. Task 5.1 is also contributed to D5.2. D5.2 is a more comprehensive project document and is has been well coordinated and written under leadership of NiMet.  Task 5.2 on identification of case studies for use in both East and West Africa was completed. These cases identified as implied in the issues of advancing the science of operational weather forecasting in Africa building up on the baselines contained in D5.1 and D5.2. Tasks 5.4, 5.5 and 5.8 are the content of current science work in both East and West Africa  and will proceed to the end of SWIFT. Some of the weather data sets, tools and models being used in the research include operational reanalysis (mainly ERAI & NCAR-NCEP), models and weather data post-processing capabilities and forecast models in the “SYNERGY” tool. Following task 5.4, D.3 will be completed during the reporting period 4.	To ensure D5.1 has valid facts from the SWIFT Africa National Meteorological Services (NMSs), Gmet and ANACIM have been requested to provide few statements on human resources and simple map to show the country network of meteorological stations as basis upon which SWIFT will be starting from when addressing operational and research weather data in East and West Africa.	D5.3 during reporting period 4 (i.e. month 24)
2019-02-28	WP-R1	Work continues to progress on WP-R1. We have completed work on our first project deliverable (Report on current state of knowledge regarding user needs for forecasts at different timescales in each sector). A paper based on this review has been submitted to Environmental Research Letters. Currently, we are in the process of running user-provider workshops in each partner country. These have been delayed from the previous schedule in order to ensure budget transfer, person availability and that workshops don’t clash with national election periods. However, the workshop in Ghana has been completed (8-9th Nov 2018) and a policy brief prepared to share with the wider SWIFT community and a general audience. Following on from the Accra workshop KNUST and GMet plan to run a similar event with users based in the north of Ghana (June 2019).  Workshops in Senegal (March 13th-14th 2019) and Nigeria (March 26th-27th 2019) are now scheduled with preparations ongoing. The workshop in Kenya is being planned to coincide with Testbed 1b (April/May 2019). Data gathered in these workshops will be combined with data from the reporting templates completed with each NMS, surveys conducted in each country in producing our second project deliverable (Rport on user perceptions and needs for forecast products for different timescales and sectors in each country).	Tasks R1.1.2 (Documentations of governance and institutional arrangements for NMSs), has been merged with the provider-user workshops. It was originally envisaged that this task could be accomplished using material gathered through NMS reporting templates (Task 1.1.3a-d) and interviews conducted at the SWIFT kick-off meetings, however it has become clear that more data is needed to do this. Rather than pursue this as a standalone activity, institutional arrangements will be explored through the provider user workshops, with user perceptions of these additionally being assessed through subsequent user surveys. Tasks R1.2.1 (Completion of standard protocols for user surveys and interviews) and subsequent piloting have been delayed. However, a survey with farmers and fishermen in Northern Ghana has been piloted by KNUST, and we are using this as a basis for developing a survey protocol that can be applied across context, with some country-specific and sector-specific modifications made	We have no deliverables scheduled for completion during the next quarter. However, we will complete Task R1.2.2a-d (Workshops bringing together NMS and user representatives in each partner country). 
2019-03-21	WP-R4	Good progress with developing a plan to give access to RDT products: RDT working in Leeds, being setup to work with a big dish for African data, plan to handover to African centres in 2019 summer school. Base-lining complete, with no centres actively using automated nowcasting. Some case studies in African centres.	Development of metrics delayed - will revisit at next WP3/Wp4 telecon	none
2019-03-21	WP-C1	Some successful activities have been achieved, including computational training in June 2018 (Ghana, with DARA), and joint training with SWFDP (Togo, Nov 18 and Nairobi, Jan 19). However, the strategic aspects of this WP are overdue and need attention. 	Communications in this WP have not been very effective. The meetings involve a large number of people, but the engagement can be quite passive, and we have not made progress on some important aims. In particular, we need to move quickly on the baseline activities in regard to skills, existing training, and gaps in provision: all these are overdue. We have some great opportunities to influence the training centres, which need to be taken. Note that there is an international initiative to develop integrated training for the BIP-M: we need the African SWIFT members to engage with this.	We need to defer the due dates for several tasks, but make sure they are done soon. This probably means sharing responsibilities more widely.
2019-03-21	WP-M2	A list of high impact weather (HIW) case studies of weather systems on national and bub-regional scales have been compiled and hosted on the wiki page of the Project.	No problems is envisaged for now	This list of case studies will be investigated across WPs for cross-work packages and holistic approach for the investigation will commence. 
2019-03-21	WP-C2	Testbed 1a successfully completed and some important lessons learned, operationally and scientifically. Plans are in good shape for 1b and 2.	No obvious concerns.	Testbed 1b.
2019-03-21	WP-R2	"The WP overall is on track. The data gathering exercises of D2.1, including understanding which data are available and suitable for forecast verification, are making good progress. All other deliverables depend on these tasks in D2.1 to be near completion before these can get fully underway, including the documentation. Apart from access to observations, the WP tasks also rely on forecast product availability for evaluation and therefore efficient communication with other WPs. Most tasks have persons associated with other WPs and the adoption of ""Slack"" is helping efficient communication."	"The monitoring and evaluation tasks associated with deliverable D2.7 need to be put into place now for this to work well across the SWIFT timeline. The reporting strategy for these tasks will be confirmed at the next telecon (14 March). Several tasks and deliverables have inappropriate ""planned completion"" dates. These are currently being reviewed on Slack."	No deliverables are due until November 2019 (D-R2.1)
2019-03-21	WP-R6	"This work package can broadly be divided into three categories: (i) improving our understanding of the drivers of sub-seasonal variability over Africa; (ii) Evaluation (including skill) of sub-seasonal prediction systems; (iii) S2S Forecast testbed and work is progressing in each of these. Much of this work is being developed within analysis of case studies which can cut across the WP.  i)	Drivers of sub-seasonal variability  Work has begun on analysing the role of the MJO on rainfall over West Africa and in particular its relationship to Monsoon Onset. Based on AEW tracking developed in WP5 we will also explore the sub-seasonal drivers of AEW variability. Work has begun more generally on Monsoon Onset in West African Partners. A more broad review of existing knowledge of sub-seasonal drivers is underway. ii)	Sub-seasonal forecast skill The S2S database has been used to assess forecast skill for weekly rainfall over the whole of Africa, including some preliminary assessment of skill conditioned on MJO phase; Monthly Rainfall over East Africa, including model biases; and Monsoon Onset for Nigeria, including assessment of the representation of the TEJ and AEJ. Papers are in preparation on each of these analysis. iii)	S2S Testbed: The testbed is planned to begin late in 2019 with the timing dependent on the access to realtime data, an application to S2S for realtime access to the archive has been made. The S2S project hopes to make realtime access available for 2 years in which case we will extend the testbed for a second year compared to the intial 1 year plan. Some work has begun on developing scripts to allow routine preparation of forecast products from the database. A key aspect of the testbed will be interaction with forecast users (a requirement for realtime access to the S2S database), and it is important that we start to develop these interactions well before we have realtime access to the archive.   We have performed a benchmarking survey of current operational practice and a document based on the analysis is in preparation."	We are still waiting to hear whether we will be granted realtime access to the S2S database. At the minimum we will have access to the NCEP data (publicly available) and we could extend to include SubX models. We are also having preliminary discussions with the Met Office about access to their data.	None due, although we expect to submit a number of papers contributing to D-R6.1 and D-R6.2 (and will form the basis on a benchmarking of forecast skill for D-R6.3) during the coming months as well as benchmarking for current operational practice for D-R6.5
2019-03-21	WP-R3	Case studies of evolution of storms using satellite products, Inter-Comparison of AIRS and NCEP R2 Temperature and Relative Humidity Proles with AMMA and DACCIWA Radiosonde Observations over West Africa has been caried out. In addition, TRMM thunderstorm and lightning data has been downloaded and this data analysis is about 40% complete	Manuscript from the temperature and humidity will be soon be submitted 	Upcoming deliverable is about 70% complete for KNUST 
